key,ru,en
TEXT_PAUSE,Пауза,Paused
KEY_CONTINUE,Продолжить,Continue
KEY_SAVE,Сохранить,Save
KEY_LOAD,Загрузить,Load
KEY_SETTINGS,Настройки,Settings
KEY_STARTOVER,Начать заново,Start over
KEY_EXIT,Выйти,Exit
TITLE_CONFIRMDELETE,Удаление сохранения,Save deletion
TEXT_CONFIRMDELETE,Вы действительно хотите удалить текущее сохранение и начать заново?,Do you really wish to delete the save and start over?
KEY_YES,Да,Yes
KEY_NO,Нет,No
TITLE_SETTINGS,Настройки,Settings
TITLE_CREDITS,Авторы,Credits
TEXT_FULLSCREENMODE,Полноэкранный режим,Fullscreen mode
TEXT_LANGUAGE,Язык игры,Language
TEXT_OBJINTERACT,Нажмите "Е" для доступа к компьютеру,Press "E" to use the computer
TAB_SELLING,Заказы,Orders
TAB_BUYING,Склад,Warehouse
TAB_UPGRADES,Улучшения,Upgrades
TEXT_NOTHINGTOSELL,Заказов нет,Nothing to sell
KEY_FILL,Пополнить,Refill
TEXT_ATWAREHOUSE,На складе: ,In stock:
TITLE_REFILL,Пополнить товар: ,Refill: 
TEXT_TOTAL,Итого: ,Total: 
KEY_BUY,Купить,Buy
KEY_SELL,Продать,Sell
TEXT_QUANTITY,Количество: ,Quantity: 
TEXT_ONEITEM,Стоимость за штуку: ,Price per item: 
TEXT_NOTENOUGH,Недостаточно:,Not enough:
TEXT_NOTENOUGHMONEY,Недостаточно средств,Not enough money
TEXT_INTHEAMOUNT, в количестве , in the amount of 
TEXT_ITEMS, шт., items.
TEXT_BOUGHT,Куплено,Bought
TEXT_BAGUETTE,Багет,Baguette
TEXT_BUN,Булочка,Bun
TEXT_CAKE,Торт,Cake
TEXT_CROISSANT,Круассан,Croissant
TEXT_DONUT,Пончик,Donut
TEXT_ECLAIR,Эклер,Eclair
TEXT_MACARON,Макарун,Macaron
UPGRADE_MOREITEMS,Больше товаров,More items
DESC_MOREITEMS,С некоторым шансом покупатель купит 2 типа товаров,With some chance a customer will buy 2 types of items
UPGRADE_POPULARITY,Популярность,Popularity
DESC_POPULARITY,Покупатели приходят чаще,Customers visit more often
TEXT_UPGRADESNOTICE,Улучшения заработают только после переоткрытия пекарни.,Upgrades will work after you re-open the bakery.
TEXT_BAKERYOPEN,Открыть пекарню,Open the bakery
TEXT_BAKERYCLOSE,Закрыть пекарню,Close the bakery
BAKERY_BUILDING_NAME,"Пекарня ""Булочка с маком""","""Poppy seed bun"" bakery"
WAREHOUSE_BUILDING_NAME,Склад,Warehouse
LEAVING_BAKERY_WARNING,Перед уходом закройте пекарню,Close the bakery before you leave
CREDITS_ZACKSTERDEV,"[b][i]ZacksterDev[/i][/b] - программирование, UI/UX, 3D модели деревьев, домов и фонарных столбов, окружение, текстуринг.","[b][i]ZacksterDev[/i][/b] - programming, UI/UX, 3D models of trees, houses, fences, plants and lightpoles, worldbuilding, texturing."
CREDITS_FRIEND,"Спасибо [b][i]другу[/i][/b] за помощь в создании 3D моделей для интерьера пекарни, здания пекарни и склада, 3D модели грузовика.","Thanks to my [b][i]friend[/i][/b] for 3D models of tables, shelves, buildings, truck and cashier table."
